make,model,mpg,transmission,gears,drive,disp,cyl,class,sidi,aspiration,fuel,atvType,startStop
Ford,Mustang Convertible,23,Manual,6,RWD,2.3,4,Subcompact,Y,Turbo,Regular,None,N
Ford,Mustang Convertible,18.3437,Automatic,10,RWD,5,8,Subcompact,N,Natural,Regular,None,N
Ford,Mustang HO Coupe,22.8518,Manual,6,RWD,2.3,4,Subcompact,Y,Turbo,Regular,None,N
Ford,Shelby GT500 Mustang,14.0853,Manual,7,RWD,5.2,8,Subcompact,N,Super,Premium,None,N
Ford,Transit T150 Wagon 4WD FFV,15.8294,Automatic,10,AWD,3.5,6,Passenger Van,Y,Natural,Regular,FFV,N
Genesis,G80 AWD,17.7991,Automatic,8,AWD,5,8,Large,Y,Natural,Premium,None,N
Genesis,G90 RWD,20.2402,Automatic,8,RWD,3.3,6,Large,Y,Turbo,Premium,None,N
GMC,Canyon 2WD,20.1722,Automatic,8,RWD,3.6,6,Sm Pickup Truck,Y,Natural,Regular,None,N
GMC,Canyon 4WD,20.7689,Automatic,6,4WD,2.5,4,Sm Pickup Truck,Y,Natural,Regular,None,N
GMC,Sierra 4WD,16.9303,Automatic,10,4WD,6.2,8,Std Pickup Truck,Y,Natural,Premium,None,Y
GMC,Sierra 4WD,16.79,Automatic,6,4WD,5.3,8,Std Pickup Truck,Y,Natural,Regular,None,N
GMC,Sierra 4WD AT4,17.2528,Automatic,10,4WD,6.2,8,Std Pickup Truck,Y,Natural,Premium,None,Y
GMC,Sierra 4WD AT4,16,Automatic,6,4WD,5.3,8,Std Pickup Truck,Y,Natural,Regular,None,N
GMC,Yukon C1500 XL 2WD,17.5914,Automatic,6,RWD,5.3,8,Std SUV,Y,Natural,Regular,FFV,N
GMC,Yukon C1500 XL 2WD,17.5914,Automatic,6,RWD,5.3,8,Std SUV,Y,Natural,Regular,None,N
GMC,Yukon K1500 4WD,16.8656,Automatic,10,4WD,6.2,8,Std SUV,Y,Natural,Premium,None,N
GMC,Yukon K1500 XL 4WD,15.9496,Automatic,10,4WD,6.2,8,Std SUV,Y,Natural,Premium,None,N
Honda,Accord,29.7143,Manual,6,FWD,1.5,4,Large,Y,Turbo,Regular,None,N
Honda,Accord,25.6759,Manual,6,FWD,2,4,Large,Y,Turbo,Regular,None,N
Honda,Civic 4Dr,33.2383,CVT,7,FWD,1.5,4,Midsize,Y,Turbo,Regular,None,N
Honda,CR-V FWD,30,CVT,1,FWD,1.5,4,Sm SUV,Y,Turbo,Regular,None,N
